coded_field,native_field,transformation,units_or_coding
ID,inpatient.number,numeric copy; missing values preserved,see native data dictionary
PULSE,pulse,numeric copy; missing values preserved,beats/min
SBP,systolic.blood.pressure,numeric copy; missing values preserved,mmHg
DBP,diastolic.blood.pressure,numeric copy; missing values preserved,mmHg
BMI,BMI,numeric copy; missing values preserved,kg/m2
LVEF,LVEF,numeric copy; missing values preserved,%
TBIL,total.bilirubin,numeric copy; missing values preserved,micromol/L
CREAT,creatinine.enzymatic.method,numeric copy; missing values preserved,micromol/L
ALB,albumin,numeric copy; missing values preserved,g/L
TC,cholesterol,numeric copy; missing values preserved,mmol/L
NEUT_C,neutrophil.count,numeric copy; missing values preserved,10^9/L
LYM,lymphocyte.count,numeric copy; missing values preserved,10^9/L
MONO_C,monocyte.count,numeric copy; missing values preserved,10^9/L
BNP,brain.natriuretic.peptide,numeric copy; missing values preserved,pg/mL
NA,sodium,numeric copy; missing values preserved,mmol/L
HB,hemoglobin,numeric copy; missing values preserved,g/L
EGFR,glomerular.filtration.rate,numeric copy; missing values preserved,mL/min/1.73 m2
DIABETES,diabetes,numeric copy; missing values preserved,see native data dictionary
COPD,Chronic.obstructive.pulmonary.disease,numeric copy; missing values preserved,see native data dictionary
CKD,moderate.to.severe.chronic.kidney.disease,numeric copy; missing values preserved,see native data dictionary
LIVER_DZ,liver.disease,numeric copy; missing values preserved,see native data dictionary
CCI,CCI.score,numeric copy; missing values preserved,see native data dictionary
MI,myocardial.infarction,numeric copy; missing values preserved,see native data dictionary
CVD,cerebrovascular.disease,numeric copy; missing values preserved,see native data dictionary
PVD,peripheral.vascular.disease,numeric copy; missing values preserved,see native data dictionary
VISIT_N,visit.times,numeric copy; missing values preserved,see native data dictionary
DEATH28,death.within.28.days,numeric copy; missing values preserved,see native data dictionary
READM28,re.admission.within.28.days,numeric copy; missing values preserved,see native data dictionary
DEATH3M,death.within.3.months,numeric copy; missing values preserved,see native data dictionary
READM3M,re.admission.within.3.months,numeric copy; missing values preserved,see native data dictionary
DEATH6M,death.within.6.months,numeric copy; missing values preserved,see native data dictionary
READM6M,re.admission.within.6.months,numeric copy; missing values preserved,see native data dictionary
DEATHTM,time.of.death..days.from.admission.,numeric copy; missing values preserved,days from admission
READMTM,re.admission.time..days.from.admission.,numeric copy; missing values preserved,days from admission
AGECAT,ageCat,explicit category map,"{""(21,29]"": 1, ""(29,39]"": 2, ""(39,49]"": 3, ""(49,59]"": 4, ""(59,69]"": 5, ""(69,79]"": 6, ""(79,89]"": 7, ""(89,110]"": 8}"
GENDER,gender,explicit category map,"{""Male"": 1, ""Female"": 2}"
NYHA,NYHA.cardiac.function.classification,explicit category map,"{""II"": 2, ""III"": 3, ""IV"": 4}"
HFTYPE,type.of.heart.failure,explicit category map,"{""Left"": 1, ""Right"": 2, ""Both"": 3}"
HOSPOUT,outcome.during.hospitalization,explicit category map,"{""Alive"": 1, ""Dead"": 2, ""DischargeAgainstOrder"": 3}"
COMP28,DEATH28 and READM28,logical OR of recorded endpoint flags; not recomputed from time fields,0=no recorded component; 1=at least one component
COMP3M,DEATH3M and READM3M,logical OR of recorded endpoint flags; not recomputed from time fields,0=no recorded component; 1=at least one component
COMP6M,DEATH6M and READM6M,logical OR of recorded endpoint flags; not recomputed from time fields,0=no recorded component; 1=at least one component
MELD_XI,score components listed above,recalculated using the shared analysis_cc.clean_frame implementation,points; score formula documented in manuscript
NPS,score components listed above,recalculated using the shared analysis_cc.clean_frame implementation,points; score formula documented in manuscript
